33.77902, -84.39977, 12/10/01, 10:28:15
33.77903, -84.39977, 12/10/01, 10:28:16
33.77905, -84.39977, 12/10/01, 10:28:17
33.77907, -84.39977, 12/10/01, 10:28:18
33.77908, -84.39975, 12/10/01, 10:28:19
33.77910, -84.39977, 12/10/01, 10:28:20
33.77912, -84.39975, 12/10/01, 10:28:21
33.77912, -84.39975, 12/10/01, 10:28:22
33.77913, -84.39975, 12/10/01, 10:28:23
33.77915, -84.39975, 12/10/01, 10:28:24
33.77917, -84.39975, 12/10/01, 10:28:25
33.77918, -84.39977, 12/10/01, 10:28:26
33.77922, -84.39977, 12/10/01, 10:28:27
33.77923, -84.39977, 12/10/01, 10:28:28
33.77923, -84.39977, 12/10/01, 10:28:29
33.77927, -84.39977, 12/10/01, 10:28:30
33.77927, -84.39977, 12/10/01, 10:28:31
33.77928, -84.39977, 12/10/01, 10:28:32
33.77930, -84.39978, 12/10/01, 10:28:33
33.77932, -84.39977, 12/10/01, 10:28:34
33.77933, -84.39977, 12/10/01, 10:28:35
33.77935, -84.39977, 12/10/01, 10:28:36
33.77937, -84.39977, 12/10/01, 10:28:37
33.77938, -84.39977, 12/10/01, 10:28:38
33.77940, -84.39977, 12/10/01, 10:28:39
33.77942, -84.39977, 12/10/01, 10:28:40
33.77943, -84.39977, 12/10/01, 10:28:41
33.77945, -84.39977, 12/10/01, 10:28:42
33.77947, -84.39977, 12/10/01, 10:28:43
33.77948, -84.39977, 12/10/01, 10:28:44
33.77950, -84.39977, 12/10/01, 10:28:45
33.77952, -84.39977, 12/10/01, 10:28:46
33.77953, -84.39977, 12/10/01, 10:28:47
33.77955, -84.39977, 12/10/01, 10:28:48
33.77955, -84.39977, 12/10/01, 10:28:49
33.77957, -84.39977, 12/10/01, 10:28:50
33.77958, -84.39977, 12/10/01, 10:28:51
33.77960, -84.39977, 12/10/01, 10:28:52
33.77962, -84.39978, 12/10/01, 10:28:53
33.77962, -84.39978, 12/10/01, 10:28:54
33.77963, -84.39978, 12/10/01, 10:28:55
33.77965, -84.39978, 12/10/01, 10:28:56
33.77967, -84.39980, 12/10/01, 10:28:57
33.77967, -84.39980, 12/10/01, 10:28:58
33.77968, -84.39980, 12/10/01, 10:28:59
33.77970, -84.39982, 12/10/01, 10:29:00
33.77972, -84.39980, 12/10/01, 10:29:01
33.77973, -84.39982, 12/10/01, 10:29:02
33.77975, -84.39982, 12/10/01, 10:29:03
33.77975, -84.39982, 12/10/01, 10:29:04
33.77977, -84.39982, 12/10/01, 10:29:05
33.77978, -84.39982, 12/10/01, 10:29:06
33.77980, -84.39982, 12/10/01, 10:29:07
33.77982, -84.39982, 12/10/01, 10:29:08
33.77983, -84.39982, 12/10/01, 10:29:09
33.77985, -84.39982, 12/10/01, 10:29:10
33.77985, -84.39982, 12/10/01, 10:29:11
33.77987, -84.39983, 12/10/01, 10:29:12
33.77988, -84.39983, 12/10/01, 10:29:13
33.77988, -84.39983, 12/10/01, 10:29:14
33.77990, -84.39983, 12/10/01, 10:29:15
33.77992, -84.39985, 12/10/01, 10:29:16
33.77993, -84.39985, 12/10/01, 10:29:17
33.77995, -84.39985, 12/10/01, 10:29:18
33.77995, -84.39987, 12/10/01, 10:29:19
33.77997, -84.39988, 12/10/01, 10:29:20
33.77997, -84.39988, 12/10/01, 10:29:21
33.77998, -84.39990, 12/10/01, 10:29:22
33.77998, -84.39992, 12/10/01, 10:29:23
33.77998, -84.39993, 12/10/01, 10:29:24
33.78000, -84.39995, 12/10/01, 10:29:25
33.78000, -84.39997, 12/10/01, 10:29:26
33.78002, -84.39998, 12/10/01, 10:29:27
33.78003, -84.40000, 12/10/01, 10:29:28
33.78003, -84.40000, 12/10/01, 10:29:29
33.78005, -84.40000, 12/10/01, 10:29:30
33.78007, -84.40002, 12/10/01, 10:29:31
33.78008, -84.40002, 12/10/01, 10:29:32
33.78008, -84.40003, 12/10/01, 10:29:33
33.78010, -84.40003, 12/10/01, 10:29:34
33.78012, -84.40005, 12/10/01, 10:29:35
33.78012, -84.40007, 12/10/01, 10:29:36
33.78013, -84.40008, 12/10/01, 10:29:37
33.78015, -84.40010, 12/10/01, 10:29:38
33.78015, -84.40010, 12/10/01, 10:29:39
33.78017, -84.40010, 12/10/01, 10:29:40
33.78018, -84.40012, 12/10/01, 10:29:41
33.78018, -84.40012, 12/10/01, 10:29:42
33.78020, -84.40013, 12/10/01, 10:29:43
33.78020, -84.40015, 12/10/01, 10:29:44
33.78022, -84.40015, 12/10/01, 10:29:45
33.78022, -84.40015, 12/10/01, 10:29:46
33.78023, -84.40015, 12/10/01, 10:29:47
33.78023, -84.40017, 12/10/01, 10:29:48
33.78023, -84.40015, 12/10/01, 10:29:49
33.78023, -84.40015, 12/10/01, 10:29:50
33.78007, -84.40002, 12/10/01, 10:31:05
33.78017, -84.40000, 12/10/01, 10:31:06
33.78025, -84.40000, 12/10/01, 10:31:07
33.78035, -84.40000, 12/10/01, 10:31:08
33.78043, -84.40002, 12/10/01, 10:31:09
33.78055, -84.40000, 12/10/01, 10:31:10
33.78065, -84.39998, 12/10/01, 10:31:11
33.78080, -84.39995, 12/10/01, 10:31:12
33.78087, -84.39997, 12/10/01, 10:31:13
33.78095, -84.39997, 12/10/01, 10:31:14
33.78102, -84.39997, 12/10/01, 10:31:15
33.78110, -84.39997, 12/10/01, 10:31:16
33.78117, -84.39997, 12/10/01, 10:31:17
33.78123, -84.39997, 12/10/01, 10:31:18
33.78125, -84.39997, 12/10/01, 10:31:19
33.78127, -84.39997, 12/10/01, 10:31:20
33.78128, -84.39995, 12/10/01, 10:31:21
33.78132, -84.39993, 12/10/01, 10:31:23
33.78132, -84.39987, 12/10/01, 10:31:24
33.78132, -84.39980, 12/10/01, 10:31:25
33.78132, -84.39973, 12/10/01, 10:31:26
33.78133, -84.39968, 12/10/01, 10:31:27
33.78133, -84.39962, 12/10/01, 10:31:28
33.78133, -84.39955, 12/10/01, 10:31:29
33.78133, -84.39948, 12/10/01, 10:31:30
33.78133, -84.39942, 12/10/01, 10:31:31
33.78135, -84.39933, 12/10/01, 10:31:32
33.78135, -84.39922, 12/10/01, 10:31:33
33.78135, -84.39912, 12/10/01, 10:31:34
33.78137, -84.39895, 12/10/01, 10:31:35
33.78137, -84.39883, 12/10/01, 10:31:36
33.78137, -84.39870, 12/10/01, 10:31:37
33.78137, -84.39862, 12/10/01, 10:31:38
33.78138, -84.39852, 12/10/01, 10:31:39
33.78138, -84.39845, 12/10/01, 10:31:40
33.78138, -84.39838, 12/10/01, 10:31:41
33.78138, -84.39830, 12/10/01, 10:31:42
33.78138, -84.39823, 12/10/01, 10:31:43
33.78138, -84.39817, 12/10/01, 10:31:44
33.78138, -84.39810, 12/10/01, 10:31:45
33.78138, -84.39805, 12/10/01, 10:31:46
33.78137, -84.39798, 12/10/01, 10:31:47
33.78137, -84.39792, 12/10/01, 10:31:48
33.78137, -84.39787, 12/10/01, 10:31:49
33.78137, -84.39780, 12/10/01, 10:31:50
33.78137, -84.39773, 12/10/01, 10:31:51
33.78137, -84.39767, 12/10/01, 10:31:52
33.78137, -84.39762, 12/10/01, 10:31:53
33.78137, -84.39755, 12/10/01, 10:31:54
33.78137, -84.39748, 12/10/01, 10:31:55
33.78137, -84.39742, 12/10/01, 10:31:56
33.78137, -84.39733, 12/10/01, 10:31:57
33.78137, -84.39727, 12/10/01, 10:31:58
33.78137, -84.39717, 12/10/01, 10:31:59
33.78137, -84.39703, 12/10/01, 10:32:00
33.78137, -84.39692, 12/10/01, 10:32:01
33.78137, -84.39680, 12/10/01, 10:32:02
33.78150, -84.39590, 12/10/01, 10:32:03
33.78150, -84.39578, 12/10/01, 10:32:04
33.78150, -84.39567, 12/10/01, 10:32:05
33.78150, -84.39555, 12/10/01, 10:32:06
33.78150, -84.39543, 12/10/01, 10:32:07
33.78150, -84.39530, 12/10/01, 10:32:08
33.78150, -84.39518, 12/10/01, 10:32:09
33.78150, -84.39507, 12/10/01, 10:32:10
33.78148, -84.39495, 12/10/01, 10:32:11
